# amode = EvolutionaryAlgorithm, mode = Ackley_4D, moveset_mode = nnb
# 2x1x2x5 array, D = 4
# nruns = 5, ltot = 200, straj = 1, Npop = 50
Mu            X             Rbar          Fbest          feval         Sbest
1.0000e-01    5.0000e-01    0.0000e+00    -1.2255e+01    131       (1.0,-4.0,-8.0,-3.0)
1.0000e-01    5.0000e-01    0.0000e+00    -1.4886e+01    110       (5.0,-1.0,4.0,12.0)
1.0000e-01    5.0000e-01    0.0000e+00    -1.4147e+01    100       (-1.0,10.0,-7.0,-1.0)
1.0000e-01    5.0000e-01    0.0000e+00    -1.4652e+01    99        (3.0,10.0,-4.0,7.0)
1.0000e-01    5.0000e-01    0.0000e+00    -1.4051e+01    96        (-1.0,-4.0,3.0,11.0)
1.0000e-01    5.0000e-01    1.0000e-02    -1.7973e+01    443       (0.0,-10.0,-18.0,10.0)
1.0000e-01    5.0000e-01    1.0000e-02    0.0000e+00    429       (0.0,0.0,0.0,0.0)
1.0000e-01    5.0000e-01    1.0000e-02    -7.3523e+00    541       (0.0,-1.0,2.0,-4.0)
1.0000e-01    5.0000e-01    1.0000e-02    -1.4732e+01    508       (-7.0,2.0,-2.0,-11.0)
1.0000e-01    5.0000e-01    1.0000e-02    -1.5596e+01    474       (-6.0,-12.0,7.0,0.0)
2.0000e-01    5.0000e-01    0.0000e+00    -1.2130e+01    122       (1.0,-1.0,-9.0,2.0)
2.0000e-01    5.0000e-01    0.0000e+00    -1.3688e+01    122       (4.0,7.0,8.0,2.0)
2.0000e-01    5.0000e-01    0.0000e+00    -1.6168e+01    130       (-3.0,8.0,14.0,-2.0)
2.0000e-01    5.0000e-01    0.0000e+00    -1.1869e+01    162       (6.0,3.0,0.0,6.0)
2.0000e-01    5.0000e-01    0.0000e+00    -1.1388e+01    123       (-3.0,2.0,-3.0,-7.0)
2.0000e-01    5.0000e-01    1.0000e-02    -1.1536e+01    669       (2.0,-6.0,-5.0,0.8)
2.0000e-01    5.0000e-01    1.0000e-02    -1.6985e+01    556       (11.0,11.0,4.0,10.0)
2.0000e-01    5.0000e-01    1.0000e-02    -1.1741e+01    641       (1.0,6.0,-5.0,4.0)
2.0000e-01    5.0000e-01    1.0000e-02    -1.4549e+01    646       (-2.0,-8.0,-10.0,-1.0)
2.0000e-01    5.0000e-01    1.0000e-02    -1.4979e+01    655       (1.0,9.0,-3.0,-10.0)
