# amode = SimulatedAnnealing, mode = Rastrigin_4D, moveset_mode = nnb
# 2x1x1x5 array, D = 4
# nruns = 5, ltot = 10000, straj = 1, schedule = linear
Ti            Tf            Rbar          Fbest          feval         Sbest
1.0000e+01    1.0000e-03    0.0000e+00    -5.3962e+00    7645      (1.75,0.35,-1.05,-1.05)
1.0000e+01    1.0000e-03    0.0000e+00    -5.6415e+00    7531      (-1.75,-0.35,-0.7,1.4)
1.0000e+01    1.0000e-03    0.0000e+00    -7.1132e+00    7538      (-1.4,0.35,-1.75,1.4)
1.0000e+01    1.0000e-03    0.0000e+00    -2.6981e+00    7503      (-1.4,0.35,-0.7,-0.35)
1.0000e+01    1.0000e-03    0.0000e+00    -7.3580e-01    7612      (0.7,0.35,-0.35,0.0)
1.0000e+02    1.0000e-03    0.0000e+00    -2.3990e+01    8223      (2.75,-1.75,3.1,-1.7)
1.0000e+02    1.0000e-03    0.0000e+00    -1.8953e+01    8014      (-3.1,2.45,1.05,-1.4)
1.0000e+02    1.0000e-03    0.0000e+00    -2.3834e+01    7984      (3.5,2.4,-2.1,-1.05)
1.0000e+02    1.0000e-03    0.0000e+00    -1.4906e+01    7970      (-1.4,1.4,3.1,1.05)
1.0000e+02    1.0000e-03    0.0000e+00    -1.9762e+01    7901      (2.45,-3.45,-1.05,0.7)
